variable_name,data_group,variable1,variable1_definition,variable2,variable2_definition,code1,code1_definition,code2,code2_definition
AGE_HH_MULTGEN_1,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,AGE_HH,AGE_HH,1,1 generation,Mean,Average
AGE_HH_MULTGEN_2,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,AGE_HH,AGE_HH,2,2 generations,Mean,Average
AGE_HH_MULTGEN_3,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,AGE_HH,AGE_HH,3,3+ generations,Mean,Average
AGE_HH_NCOUPLES1_1,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,AGE_HH,AGE_HH,1,1 couple,Mean,Average
AGE_HH_NCOUPLES1_2,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,AGE_HH,AGE_HH,2,2 couples,Mean,Average
AGE_HH_NCOUPLES1_3_High,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,AGE_HH,AGE_HH,3_High,3 or ore couples,Mean,Average
AGE_HH_NCOUPLES1_Low_0,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,AGE_HH,AGE_HH,Low_0,0 couples or N/A,Mean,Average
AGE_HH_NFAMS1_2,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",AGE_HH,AGE_HH,2,2 families,Mean,Average
AGE_HH_NFAMS1_3,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",AGE_HH,AGE_HH,3,3 families,Mean,Average
AGE_HH_NFAMS1_4_High,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",AGE_HH,AGE_HH,4_High,4 or more families,Mean,Average
AGE_HH_NFAMS1_Low_1,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",AGE_HH,AGE_HH,Low_1,1 family or N/A,Mean,Average
AGE_HH_OWNERSHP_1,ACS Household,OWNERSHP,OWNERSHP indicates whether the housing unit was rented or owned.,AGE_HH,AGE_HH,1,Owned or being bought (loan),Mean,Average
AGE_HH_OWNERSHP_2,ACS Household,OWNERSHP,OWNERSHP indicates whether the housing unit was rented or owned.,AGE_HH,AGE_HH,2,Rented,Mean,Average
AGE_HH_RACE1_HH_B,ACS Household,RACE1_HH,RACE is a household variable for race.,AGE_HH,AGE_HH,B,Non-Hispanic Black,Mean,Average
AGE_HH_RACE1_HH_H,ACS Household,RACE1_HH,RACE is a household variable for race.,AGE_HH,AGE_HH,H,Hispanic,Mean,Average
AGE_HH_RACE1_HH_O,ACS Household,RACE1_HH,RACE is a household variable for race.,AGE_HH,AGE_HH,O,Other,Mean,Average
AGE_HH_RACE1_HH_W,ACS Household,RACE1_HH,RACE is a household variable for race.,AGE_HH,AGE_HH,W,Non-Hispanic White,Mean,Average
AGE_HH_SEX_HH_1,ACS Household,SEX_HH,SEX_HH is a household variable which reports whether the respondent is male or female.,AGE_HH,AGE_HH,1,Male,Mean,Average
AGE_HH_SEX_HH_2,ACS Household,SEX_HH,SEX_HH is a household variable which reports whether the respondent is male or female.,AGE_HH,AGE_HH,2,Female,Mean,Average
FAMSIZE_AGE2_HH_20_39,ACS Household,AGE2_HH,AGE2 is a household variable that reports the respondent's age in years. AGE2 shows intervals of 10 years.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",20_39,Ages 20-39,Mean,Mean
FAMSIZE_AGE2_HH_40_59,ACS Household,AGE2_HH,AGE2 is a household variable that reports the respondent's age in years. AGE2 shows intervals of 10 years.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",40_59,Ages 40-59,Mean,Mean
FAMSIZE_AGE2_HH_60_High,ACS Household,AGE2_HH,AGE2 is a household variable that reports the respondent's age in years. AGE2 shows intervals of 10 years.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",60_High,Age 60 and older,Mean,Mean
FAMSIZE_AGE2_HH_Low_19,ACS Household,AGE2_HH,AGE2 is a household variable that reports the respondent's age in years. AGE2 shows intervals of 10 years.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",Low_19,Ages 19 and below,Mean,Mean
FAMSIZE_CITIZEN_HH_0,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",0,N/A,Mean,Mean
FAMSIZE_CITIZEN_HH_1,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",1,Born abroad of American parents,Mean,Mean
FAMSIZE_CITIZEN_HH_2,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",2,Naturalized citizen,Mean,Mean
FAMSIZE_CITIZEN_HH_3,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",3,Not a citizen,Mean,Mean
FAMSIZE_COMMUSE_0,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",0,N/A,Mean,Mean
FAMSIZE_COMMUSE_1,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",1,No commercial use,Mean,Mean
FAMSIZE_COMMUSE_2,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",2,"Yes, used commercially",Mean,Mean
FAMSIZE_EDUC1_HH_1_8,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",1_8,Nursery school to grade 8,Mean,Mean
FAMSIZE_EDUC1_HH_9_12,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",9_12,Grades 9-12,Mean,Mean
FAMSIZE_EDUC1_HH_C1_C3,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",C1_C3,1-3 years of college,Mean,Mean
FAMSIZE_EDUC1_HH_C4_High,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",C4_High,4+ years of college,Mean,Mean
FAMSIZE_EDUC1_HH_Low-No,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",Low-No,N/A or no schooling,Mean,Mean
FAMSIZE_EMPSTAT_HH_0,ACS Household,EMPSTAT_HH,"EMPSTAT_HH is a household variable that indicates whether the respondent was a part of the labor force -- working or seeking work -- and, if so, whether the respondent was currently unemployed.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",0,N/A,Mean,Mean
FAMSIZE_EMPSTAT_HH_1,ACS Household,EMPSTAT_HH,"EMPSTAT_HH is a household variable that indicates whether the respondent was a part of the labor force -- working or seeking work -- and, if so, whether the respondent was currently unemployed.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",1,Employed,Mean,Mean
FAMSIZE_EMPSTAT_HH_2,ACS Household,EMPSTAT_HH,"EMPSTAT_HH is a household variable that indicates whether the respondent was a part of the labor force -- working or seeking work -- and, if so, whether the respondent was currently unemployed.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",2,Unemployed,Mean,Mean
FAMSIZE_EMPSTAT_HH_3,ACS Household,EMPSTAT_HH,"EMPSTAT_HH is a household variable that indicates whether the respondent was a part of the labor force -- working or seeking work -- and, if so, whether the respondent was currently unemployed.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",3,Not in labor force,Mean,Mean
FAMSIZE_MULTGEN_1,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",1,1 generation,Mean,Mean
FAMSIZE_MULTGEN_2,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",2,2 generations,Mean,Mean
FAMSIZE_MULTGEN_3,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",3,3+ generations,Mean,Mean
FAMSIZE_NCOUPLES1_1,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",1,1 couple,Mean,Mean
FAMSIZE_NCOUPLES1_2,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",2,2 couples,Mean,Mean
FAMSIZE_NCOUPLES1_3_High,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",3_High,3 or ore couples,Mean,Mean
FAMSIZE_NCOUPLES1_Low_0,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",Low_0,0 couples or N/A,Mean,Mean
FAMSIZE_NFAMS1_2,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",2,2 families,Mean,Mean
FAMSIZE_NFAMS1_3,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",3,3 families,Mean,Mean
FAMSIZE_NFAMS1_4_High,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",4_High,4 or more families,Mean,Mean
FAMSIZE_NFAMS1_Low_1,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",Low_1,1 family or N/A,Mean,Mean
FAMSIZE_OWNERSHP_1,ACS Household,OWNERSHP,OWNERSHP indicates whether the housing unit was rented or owned.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",1,Owned or being bought (loan),Mean,Mean
FAMSIZE_OWNERSHP_2,ACS Household,OWNERSHP,OWNERSHP indicates whether the housing unit was rented or owned.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",2,Rented,Mean,Mean
FAMSIZE_RACE1_HH_B,ACS Household,RACE1_HH,RACE is a household variable for race.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",B,Non-Hispanic Black,Mean,Mean
FAMSIZE_RACE1_HH_H,ACS Household,RACE1_HH,RACE is a household variable for race.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",H,Hispanic,Mean,Mean
FAMSIZE_RACE1_HH_O,ACS Household,RACE1_HH,RACE is a household variable for race.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",O,Other,Mean,Mean
FAMSIZE_RACE1_HH_W,ACS Household,RACE1_HH,RACE is a household variable for race.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",W,Non-Hispanic White,Mean,Mean
FAMSIZE_SEX_HH_1,ACS Household,SEX_HH,SEX_HH is a household variable which reports whether the respondent is male or female.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",1,Male,Mean,Mean
FAMSIZE_SEX_HH_2,ACS Household,SEX_HH,SEX_HH is a household variable which reports whether the respondent is male or female.,FAMSIZE,"FAMDIZE reports the number of own family members in household; includes the respondent, but not any others living in the household who are not related to them by blood, marriage, or adoption.",2,Female,Mean,Mean
HHINCOME_AGE2_HH_20_39,ACS Household,AGE2_HH,AGE2 is a household variable that reports the respondent's age in years. AGE2 shows intervals of 10 years.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,20_39,Ages 20-39,Mean,Average
HHINCOME_AGE2_HH_40_59,ACS Household,AGE2_HH,AGE2 is a household variable that reports the respondent's age in years. AGE2 shows intervals of 10 years.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,40_59,Ages 40-59,Mean,Average
HHINCOME_AGE2_HH_60_High,ACS Household,AGE2_HH,AGE2 is a household variable that reports the respondent's age in years. AGE2 shows intervals of 10 years.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,60_High,Age 60 and older,Mean,Average
HHINCOME_AGE2_HH_Low_19,ACS Household,AGE2_HH,AGE2 is a household variable that reports the respondent's age in years. AGE2 shows intervals of 10 years.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,Low_19,Ages 19 and below,Mean,Average
HHINCOME_CITIZEN_HH_0,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,0,N/A,Mean,Average
HHINCOME_CITIZEN_HH_1,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,1,Born abroad of American parents,Mean,Average
HHINCOME_CITIZEN_HH_2,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,2,Naturalized citizen,Mean,Average
HHINCOME_CITIZEN_HH_3,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,3,Not a citizen,Mean,Average
HHINCOME_COMMUSE_0,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,0,N/A,Mean,Average
HHINCOME_COMMUSE_1,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,1,No commercial use,Mean,Average
HHINCOME_COMMUSE_2,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,2,"Yes, used commercially",Mean,Average
HHINCOME_EDUC1_HH_1_8,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,1_8,Nursery school to grade 8,Mean,Average
HHINCOME_EDUC1_HH_9_12,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,9_12,Grades 9-12,Mean,Average
HHINCOME_EDUC1_HH_C1_C3,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,C1_C3,1-3 years of college,Mean,Average
HHINCOME_EDUC1_HH_C4_High,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,C4_High,4+ years of college,Mean,Average
HHINCOME_EDUC1_HH_Low-No,ACS Household,EDUC1_HH,"EDUC1_HH is a household variable that indicates respondents' educational attainment, as measured by the highest year of school or degree completed. Re-coded from original variable into 5 categories.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,Low-No,N/A or no schooling,Mean,Average
HHINCOME_EMPSTAT_HH_0,ACS Household,EMPSTAT_HH,"EMPSTAT_HH is a household variable that indicates whether the respondent was a part of the labor force -- working or seeking work -- and, if so, whether the respondent was currently unemployed.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,0,N/A,Mean,Average
HHINCOME_EMPSTAT_HH_1,ACS Household,EMPSTAT_HH,"EMPSTAT_HH is a household variable that indicates whether the respondent was a part of the labor force -- working or seeking work -- and, if so, whether the respondent was currently unemployed.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,1,Employed,Mean,Average
HHINCOME_EMPSTAT_HH_2,ACS Household,EMPSTAT_HH,"EMPSTAT_HH is a household variable that indicates whether the respondent was a part of the labor force -- working or seeking work -- and, if so, whether the respondent was currently unemployed.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,2,Unemployed,Mean,Average
HHINCOME_EMPSTAT_HH_3,ACS Household,EMPSTAT_HH,"EMPSTAT_HH is a household variable that indicates whether the respondent was a part of the labor force -- working or seeking work -- and, if so, whether the respondent was currently unemployed.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,3,Not in labor force,Mean,Average
HHINCOME_MULTGEN_1,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,1,1 generation,Mean,Average
HHINCOME_MULTGEN_2,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,2,2 generations,Mean,Average
HHINCOME_MULTGEN_3,ACS Household,MULTGEN,MULTGEN reports the number of distinct generations contained in each household.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,3,3+ generations,Mean,Average
HHINCOME_NCOUPLES1_1,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,1,1 couple,Mean,Average
HHINCOME_NCOUPLES1_2,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,2,2 couples,Mean,Average
HHINCOME_NCOUPLES1_3_High,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,3_High,3 or ore couples,Mean,Average
HHINCOME_NCOUPLES1_Low_0,ACS Household,NCOUPLES1,NCOUPLES1 reports the number of married couples in each household.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,Low_0,0 couples or N/A,Mean,Average
HHINCOME_NFAMS1_2,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,2,2 families,Mean,Average
HHINCOME_NFAMS1_3,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,3,3 families,Mean,Average
HHINCOME_NFAMS1_4_High,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,4_High,4 or more families,Mean,Average
HHINCOME_NFAMS1_Low_1,ACS Household,NFAMS1,"NFAMS1 reports the number of families in each household. Categories reformatted to include 1 family and less, 2 families, 3 families, and 4+ families.",HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,Low_1,1 family or N/A,Mean,Average
HHINCOME_OWNERSHP_1,ACS Household,OWNERSHP,OWNERSHP indicates whether the housing unit was rented or owned.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,1,Owned or being bought (loan),Mean,Average
HHINCOME_OWNERSHP_2,ACS Household,OWNERSHP,OWNERSHP indicates whether the housing unit was rented or owned.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,2,Rented,Mean,Average
HHINCOME_RACE1_HH_B,ACS Household,RACE1_HH,RACE is a household variable for race.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,B,Non-Hispanic Black,Mean,Average
HHINCOME_RACE1_HH_H,ACS Household,RACE1_HH,RACE is a household variable for race.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,H,Hispanic,Mean,Average
HHINCOME_RACE1_HH_O,ACS Household,RACE1_HH,RACE is a household variable for race.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,O,Other,Mean,Average
HHINCOME_RACE1_HH_W,ACS Household,RACE1_HH,RACE is a household variable for race.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,W,Non-Hispanic White,Mean,Average
HHINCOME_SEX_HH_1,ACS Household,SEX_HH,SEX_HH is a household variable which reports whether the respondent is male or female.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,1,Male,Mean,Average
HHINCOME_SEX_HH_2,ACS Household,SEX_HH,SEX_HH is a household variable which reports whether the respondent is male or female.,HHINCOME,HHINCOME reports the total income of all household members age 15+ during previous year.,2,Female,Mean,Average
AGE1_HH_15_19,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,15_19,Ages 15-19,,
AGE1_HH_20_24,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,20_24,Ages 20-24,,
AGE1_HH_25_29,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,25_29,Ages 25-29,,
AGE1_HH_30_34,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,30_34,Ages 30-34,,
AGE1_HH_35_39,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,35_39,Ages 35-39,,
AGE1_HH_40_44,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,40_44,Ages 40-44,,
AGE1_HH_45_49,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,45_49,Ages 45-49,,
AGE1_HH_50_54,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,50_54,Ages 50-54,,
AGE1_HH_55_59,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,55_59,Ages 55-59,,
AGE1_HH_60_64,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,60_64,Ages 60-64,,
AGE1_HH_65_69,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,65_69,Ages 65-69,,
AGE1_HH_70_74,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,70_74,Ages 70-74,,
AGE1_HH_75_79,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,75_79,Ages 75-79,,
AGE1_HH_80_84,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,80_84,Ages 80-84,,
AGE1_HH_85_High,ACS Household,AGE1_HH,AGE1 is a household variable that reports the respondent's age in years. AGE shows intervals of 5 years.,,,85_High,Ages 85+,,
CITIZEN_HH_0,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,,,0,N/A,,
CITIZEN_HH_1,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,,,1,Born abroad of American parents,,
CITIZEN_HH_2,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,,,2,Naturalized citizen,,
CITIZEN_HH_3,ACS Household,CITIZEN_HH,CITIZEN_HH is a household variable that reports whether respondents are naturalized citizens or non-citizens.,,,3,Not a citizen,,
COMMUSE_0,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,,,0,N/A,,
COMMUSE_1,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,,,1,No commercial use,,
COMMUSE_2,ACS Household,COMMUSE,COMMUSE identifies housing units with a business or medical/dental office on the property.,,,2,"Yes, used commercially",,
